Question,Benson,Shane,David,Matthew,Jacob,Krzysztof,Thomas,Dearbhla,Phil,Steven,Stephen,Colm,Veronica,Claire,Ayrton,Peadar,Andy,Damien,Cian,Jason,Darren
WDC - 1st?,RUS,VER,RUS,VER,VER,VER,LEC,VER,LEC,RUS,VER,VER,RUS,NOR,VER,LEC,VER,NOR,LEC,RUS,VER
WCC - 1st?,MER,FER,MCL,MER,MER,MER,FER,MER,FER,MER,MCL,MER,MER,MER,MER,FER,FER,MCL,MER,MER,MCL
"In a GP race, Cadillac to score at least one podium finish?",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"In a GP race, Audi to score at least one podium finish?",No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No ,No,Yes,Yes,Yes,Yes,No,No
Lewis Hamilton to announce retirement before start of the Abu Dhabi GP?,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Alonso to win at least one GP race?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Will Hadjar complete the full 2026 season with Red Bull Racing team?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"In at least one GP race, there will be 6 or more DNFs?",Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes
At least one driver from the starting 22 drivers to not finish the 2026 season for any reason?,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
At least one driver will win 4 consecutive GP races?,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No
At least one of the championship titles will not be decided until the final race of the 2026 season?,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
Which driver will have most DNFs in the 2026 Season?,ALO,PER,ALO,COL,GAS,BOR,STR,GAS,ALO,ALO,COL,LAW,ALO,SAI,STR,ALO,HAD,BOT,ALO,STR,BOR
Which driver will score the most points across all 6 Sprint races?,PIA,VER,RUS,VER,PIA,VER,LEC,PIA,VER,VER,VER,VER,ANT,VER,MAX,VER,NOR,VER,RUS,VER,NOR
"Somehow, Christian Horner returns... to F1 in an official role during the 2026 season? Announcement doesn't count.",Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No
At least one driver to start but not complete 3 consecutive GP races for any reason?,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No
"By the end of the Abu Dhabi GP, at least 2 drivers will have scored 0 points?",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
Which team will score the least Contructor points by the end of the season?,CAD,CAD,CAD,AUD,ALP,CAD,CAD,ALP,CAD,CAD,AUD,CAD,AMR,ALP,AUD,CAD,CAD,CAD,CAD,CAD,CAD
Mercedes engine powered teams will win at least 18 of the 24 races?,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No
At least 3 post GP race DSQs over the 2026 season?,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
Is George Russell a dickhead? TBD by WhatsApp vote during the Abu Dhabi GP.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
